航班号,航空公司,起飞机场,到达机场,起飞机场三字码,到达机场三字码,计划起飞时间,实际起飞时间,计划到达时间,实际到达时间,状态,时长,起飞城市三字码,到达城市三字码,起飞城市,到达城市,日期
9C8617,春秋航空,正定国际机场,包头东河机场,SJW,BAV,08:00,取消,09:20,取消,取消,1h20m,SJW,BAV,石家庄,包头,2020-04-01
MF8619,厦门航空,晋江机场,南郊机场,JJN,MIG,14:35,14:45,19:10,18:48,到达,4h3m,JJN,MIG,泉州,绵阳,2020-04-01
3U4137,四川航空,晋江机场,南郊机场,JJN,MIG,14:35,14:45,19:10,18:48,到达,4h3m,JJN,MIG,泉州,绵阳,2020-04-01
NS8619,河北航空,晋江机场,南郊机场,JJN,MIG,14:35,14:45,19:10,18:48,到达,4h3m,JJN,MIG,泉州,绵阳,2020-04-01
G52766,华夏航空,美兰国际机场,白莲机场,HAK,LZH,19:45,19:32,20:55,20:23,到达,0h51m,HAK,LZH,海口,柳州,2020-04-01
CZ4956,南方航空,首都国际机场,江北国际机场,PEK,CKG,06:50,取消,10:00,取消,取消,3h10m,BJS,CKG,北京,重庆,2020-04-01
3U8516,四川航空,首都国际机场,江北国际机场,PEK,CKG,06:50,取消,10:00,取消,取消,3h10m,BJS,CKG,北京,重庆,2020-04-01
SC7048,山东航空,首都国际机场,江北国际机场,PEK,CKG,06:50,取消,10:00,取消,取消,3h10m,BJS,CKG,北京,重庆,2020-04-01
MU3974,东方航空,首都国际机场,江北国际机场,PEK,CKG,06:50,取消,10:00,取消,取消,3h10m,BJS,CKG,北京,重庆,2020-04-01
ZH1431,深圳航空,首都国际机场,江北国际机场,PEK,CKG,07:40,取消,11:00,取消,取消,3h20m,BJS,CKG,北京,重庆,2020-04-01
SC1431,山东航空,首都国际机场,江北国际机场,PEK,CKG,07:40,取消,11:00,取消,取消,3h20m,BJS,CKG,北京,重庆,2020-04-01
CA1431,中国国航,首都国际机场,江北国际机场,PEK,CKG,07:40,取消,11:00,取消,取消,3h20m,BJS,CKG,北京,重庆,2020-04-01
CA8187,中国国航,大兴国际机场,江北国际机场,PKX,CKG,07:45,取消,10:45,取消,取消,3h0m,BJS,CKG,北京,重庆,2020-04-01
MU2865,东方航空,首都国际机场,江北国际机场,PEK,CKG,07:55,取消,10:50,取消,取消,2h55m,BJS,CKG,北京,重庆,2020-04-01
ZH1429,深圳航空,首都国际机场,江北国际机场,PEK,CKG,09:05,09:12,12:20,11:55,到达,2h43m,BJS,CKG,北京,重庆,2020-04-01
CA1429,中国国航,首都国际机场,江北国际机场,PEK,CKG,09:05,09:12,12:20,11:55,到达,2h43m,BJS,CKG,北京,重庆,2020-04-01
MU4043,东方航空,首都国际机场,江北国际机场,PEK,CKG,10:40,10:51,13:50,13:31,到达,2h40m,BJS,CKG,北京,重庆,2020-04-01
3U8803,四川航空,首都国际机场,江北国际机场,PEK,CKG,10:40,10:51,13:50,13:31,到达,2h40m,BJS,CKG,北京,重庆,2020-04-01
CZ9611,南方航空,首都国际机场,江北国际机场,PEK,CKG,10:40,10:51,13:50,13:31,到达,2h40m,BJS,CKG,北京,重庆,2020-04-01
G58687,华夏航空,首都国际机场,江北国际机场,PEK,CKG,10:40,10:51,13:50,13:31,到达,2h40m,BJS,CKG,北京,重庆,2020-04-01
OQ2302,重庆航空,大兴国际机场,江北国际机场,PKX,CKG,11:40,取消,14:45,取消,取消,3h5m,BJS,CKG,北京,重庆,2020-04-01
MU5379,东方航空,流亭国际机场,龙湾国际机场,TAO,WNZ,08:00,07:53,09:55,09:33,到达,1h40m,TAO,WNZ,青岛,温州,2020-04-01
SC2225,山东航空,流亭国际机场,龙湾国际机场,TAO,WNZ,14:30,取消,16:30,取消,取消,2h0m,TAO,WNZ,青岛,温州,2020-04-01
MU9255,东方航空,龙湾国际机场,伊金霍洛机场,WNZ,DSN,08:00,07:49,12:45,12:33,到达,4h44m,WNZ,DSN,温州,鄂尔多斯,2020-04-01
FM9255,上海航空,龙湾国际机场,伊金霍洛机场,WNZ,DSN,08:00,07:49,12:45,12:33,到达,4h44m,WNZ,DSN,温州,鄂尔多斯,2020-04-01
PN6317,西部航空,凤凰国际机场,昌北国际机场,SYX,KHN,06:40,取消,08:50,取消,取消,2h10m,SYX,KHN,三亚,南昌,2020-04-01
HU7619,海南航空,凤凰国际机场,昌北国际机场,SYX,KHN,08:40,取消,11:10,取消,取消,2h30m,SYX,KHN,三亚,南昌,2020-04-01
JD5641,首都航空,凤凰国际机场,昌北国际机场,SYX,KHN,18:20,取消,20:50,取消,取消,2h30m,SYX,KHN,三亚,南昌,2020-04-01
NS8367,河北航空,长乐国际机场,宝安国际机场,FOC,SZX,09:10,取消,10:50,取消,取消,1h40m,FOC,SZX,福州,深圳,2020-04-01
MU4436,东方航空,长乐国际机场,宝安国际机场,FOC,SZX,09:10,取消,10:50,取消,取消,1h40m,FOC,SZX,福州,深圳,2020-04-01
MF8367,厦门航空,长乐国际机场,宝安国际机场,FOC,SZX,09:10,取消,10:50,取消,取消,1h40m,FOC,SZX,福州,深圳,2020-04-01
MF8078,厦门航空,长乐国际机场,宝安国际机场,FOC,SZX,20:10,20:15,21:45,21:33,到达,1h18m,FOC,SZX,福州,深圳,2020-04-01
NS6078,河北航空,长乐国际机场,宝安国际机场,FOC,SZX,20:10,20:15,21:45,21:33,到达,1h18m,FOC,SZX,福州,深圳,2020-04-01
CZ5028,南方航空,长乐国际机场,宝安国际机场,FOC,SZX,20:10,20:15,21:45,21:33,到达,1h18m,FOC,SZX,福州,深圳,2020-04-01
MU4108,东方航空,长乐国际机场,宝安国际机场,FOC,SZX,20:10,20:15,21:45,21:33,到达,1h18m,FOC,SZX,福州,深圳,2020-04-01
GT1037,桂林航空,观音机场,昌北国际机场,XUZ,KHN,11:40,11:38,13:10,12:47,到达,1h9m,XUZ,KHN,徐州,南昌,2020-04-01
CA8836,中国国航,长水国际机场,流亭国际机场,KMG,TAO,06:45,取消,11:50,取消,取消,5h5m,KMG,TAO,昆明,青岛,2020-04-01
SC8836,山东航空,长水国际机场,流亭国际机场,KMG,TAO,06:45,取消,11:50,取消,取消,5h5m,KMG,TAO,昆明,青岛,2020-04-01
QW9838,青岛航空,长水国际机场,流亭国际机场,KMG,TAO,06:50,07:33,12:05,12:23,到达,4h50m,KMG,TAO,昆明,青岛,2020-04-01
A67107,红土航空,长水国际机场,流亭国际机场,KMG,TAO,09:10,09:34,12:35,12:27,到达,2h53m,KMG,TAO,昆明,青岛,2020-04-01
DZ6339,东海航空,长水国际机场,流亭国际机场,KMG,TAO,09:50,10:48,15:15,15:17,到达,4h29m,KMG,TAO,昆明,青岛,2020-04-01
CZ2729,南方航空,长水国际机场,流亭国际机场,KMG,TAO,09:55,取消,14:55,取消,取消,5h0m,KMG,TAO,昆明,青岛,2020-04-01
OQ2029,重庆航空,长水国际机场,流亭国际机场,KMG,TAO,09:55,取消,14:55,取消,取消,5h0m,KMG,TAO,昆明,青岛,2020-04-01
MU5498,东方航空,长水国际机场,流亭国际机场,KMG,TAO,12:15,12:16,15:35,15:13,到达,2h57m,KMG,TAO,昆明,青岛,2020-04-01
8L9869,祥鹏航空,长水国际机场,流亭国际机场,KMG,TAO,13:15,取消,18:40,取消,取消,5h25m,KMG,TAO,昆明,青岛,2020-04-01
3U4624,四川航空,长水国际机场,流亭国际机场,KMG,TAO,13:40,取消,19:00,取消,取消,5h20m,KMG,TAO,昆明,青岛,2020-04-01
CA4696,中国国航,长水国际机场,流亭国际机场,KMG,TAO,13:40,取消,19:00,取消,取消,5h20m,KMG,TAO,昆明,青岛,2020-04-01
