航班号,航空公司,起飞机场,到达机场,起飞机场三字码,到达机场三字码,计划起飞时间,实际起飞时间,计划到达时间,实际到达时间,状态,时长,起飞城市三字码,到达城市三字码,起飞城市,到达城市,日期
ZH4517,深圳航空,栎社国际机场,五桥机场,NGB,WXN,13:05,12:55,15:30,14:57,到达,2h2m,NGB,WXN,宁波,万州,2020-04-04
CA4517,中国国航,栎社国际机场,五桥机场,NGB,WXN,13:05,12:55,15:30,14:57,到达,2h2m,NGB,WXN,宁波,万州,2020-04-04
ZH1110,深圳航空,锡林浩特机场,首都国际机场,XIL,PEK,08:55,08:42,10:15,09:27,到达,0h45m,XIL,BJS,锡林浩特,北京,2020-04-04
CA1110,中国国航,锡林浩特机场,首都国际机场,XIL,PEK,08:55,08:42,10:15,09:27,到达,0h45m,XIL,BJS,锡林浩特,北京,2020-04-04
SC1110,山东航空,锡林浩特机场,首都国际机场,XIL,PEK,08:55,08:42,10:15,09:27,到达,0h45m,XIL,BJS,锡林浩特,北京,2020-04-04
BK2797,奥凯航空,黄花国际机场,长水国际机场,CSX,KMG,07:05,07:11,09:15,08:59,到达,1h48m,CSX,KMG,长沙,昆明,2020-04-04
KY3031,昆明航空,黄花国际机场,长水国际机场,CSX,KMG,07:25,取消,11:50,取消,取消,4h25m,CSX,KMG,长沙,昆明,2020-04-04
CA5799,中国国航,黄花国际机场,长水国际机场,CSX,KMG,07:25,取消,11:50,取消,取消,4h25m,CSX,KMG,长沙,昆明,2020-04-04
ZH5431,深圳航空,黄花国际机场,长水国际机场,CSX,KMG,07:25,取消,11:50,取消,取消,4h25m,CSX,KMG,长沙,昆明,2020-04-04
SC7090,山东航空,黄花国际机场,长水国际机场,CSX,KMG,10:20,取消,12:20,取消,取消,2h0m,CSX,KMG,长沙,昆明,2020-04-04
3U8664,四川航空,黄花国际机场,长水国际机场,CSX,KMG,10:20,取消,12:20,取消,取消,2h0m,CSX,KMG,长沙,昆明,2020-04-04
ZH3834,深圳航空,黄花国际机场,长水国际机场,CSX,KMG,13:05,取消,15:15,取消,取消,2h10m,CSX,KMG,长沙,昆明,2020-04-04
MF5060,厦门航空,黄花国际机场,长水国际机场,CSX,KMG,13:05,取消,15:15,取消,取消,2h10m,CSX,KMG,长沙,昆明,2020-04-04
CZ4972,南方航空,黄花国际机场,长水国际机场,CSX,KMG,13:05,取消,15:15,取消,取消,2h10m,CSX,KMG,长沙,昆明,2020-04-04
3U8686,四川航空,黄花国际机场,长水国际机场,CSX,KMG,13:05,取消,15:15,取消,取消,2h10m,CSX,KMG,长沙,昆明,2020-04-04
MU4010,东方航空,黄花国际机场,长水国际机场,CSX,KMG,13:05,取消,15:15,取消,取消,2h10m,CSX,KMG,长沙,昆明,2020-04-04
KY3020,昆明航空,黄花国际机场,长水国际机场,CSX,KMG,16:50,16:52,19:00,18:45,到达,1h53m,CSX,KMG,长沙,昆明,2020-04-04
CA5788,中国国航,黄花国际机场,长水国际机场,CSX,KMG,16:50,16:52,19:00,18:45,到达,1h53m,CSX,KMG,长沙,昆明,2020-04-04
ZH5420,深圳航空,黄花国际机场,长水国际机场,CSX,KMG,16:50,16:52,19:00,18:45,到达,1h53m,CSX,KMG,长沙,昆明,2020-04-04
MU5750,东方航空,黄花国际机场,长水国际机场,CSX,KMG,21:55,取消,00:15+1,取消,取消,2h20m,CSX,KMG,长沙,昆明,2020-04-04
MF2012,厦门航空,桃仙国际机场,昌北国际机场,SHE,KHN,13:40,取消,18:20,取消,取消,4h40m,SHE,KHN,沈阳,南昌,2020-04-04
RY8924,江西航空,桃仙国际机场,昌北国际机场,SHE,KHN,13:40,取消,18:20,取消,取消,4h40m,SHE,KHN,沈阳,南昌,2020-04-04
MU2669,东方航空,浦东国际机场,锦州湾机场,PVG,JNZ,07:45,取消,10:00,取消,取消,2h15m,SHA,JNZ,上海,锦州,2020-04-04
G52679,华夏航空,双流国际机场,美兰国际机场,CTU,HAK,06:30,取消,10:05,取消,取消,3h35m,CTU,HAK,成都,海口,2020-04-04
3U8751,四川航空,双流国际机场,美兰国际机场,CTU,HAK,08:25,取消,10:40,取消,取消,2h15m,CTU,HAK,成都,海口,2020-04-04
