航班号,航空公司,起飞机场,到达机场,起飞机场三字码,到达机场三字码,计划起飞时间,实际起飞时间,计划到达时间,实际到达时间,状态,时长,起飞城市三字码,到达城市三字码,起飞城市,到达城市,日期
3U8570,四川航空,敦煌机场,双流国际机场,DNH,CTU,20:00,取消,00:20+1,取消,取消,4h20m,DNH,CTU,敦煌,成都,2020-04-03
MU3990,东方航空,敦煌机场,双流国际机场,DNH,CTU,20:00,取消,00:20+1,取消,取消,4h20m,DNH,CTU,敦煌,成都,2020-04-03
G58705,华夏航空,敦煌机场,双流国际机场,DNH,CTU,20:00,取消,00:20+1,取消,取消,4h20m,DNH,CTU,敦煌,成都,2020-04-03
MU2303,东方航空,咸阳国际机场,白云国际机场,XIY,CAN,07:00,取消,09:40,取消,取消,2h40m,SIA,CAN,西安,广州,2020-04-03
CZ9230,南方航空,咸阳国际机场,白云国际机场,XIY,CAN,07:00,取消,09:40,取消,取消,2h40m,SIA,CAN,西安,广州,2020-04-03
TV6632,西藏航空,咸阳国际机场,白云国际机场,XIY,CAN,07:30,07:54,10:10,10:06,到达,2h12m,SIA,CAN,西安,广州,2020-04-03
KY9222,昆明航空,咸阳国际机场,白云国际机场,XIY,CAN,07:30,07:54,10:10,10:06,到达,2h12m,SIA,CAN,西安,广州,2020-04-03
HO5073,吉祥航空,咸阳国际机场,白云国际机场,XIY,CAN,07:30,07:54,10:10,10:06,到达,2h12m,SIA,CAN,西安,广州,2020-04-03
ZH9222,深圳航空,咸阳国际机场,白云国际机场,XIY,CAN,07:30,07:54,10:10,10:06,到达,2h12m,SIA,CAN,西安,广州,2020-04-03
CA3522,中国国航,咸阳国际机场,白云国际机场,XIY,CAN,07:30,07:54,10:10,10:06,到达,2h12m,SIA,CAN,西安,广州,2020-04-03
3U4340,四川航空,咸阳国际机场,白云国际机场,XIY,CAN,07:30,07:54,10:10,10:06,到达,2h12m,SIA,CAN,西安,广州,2020-04-03
MU3332,东方航空,咸阳国际机场,白云国际机场,XIY,CAN,09:00,取消,11:50,取消,取消,2h50m,SIA,CAN,西安,广州,2020-04-03
CZ3216,南方航空,咸阳国际机场,白云国际机场,XIY,CAN,09:00,取消,11:50,取消,取消,2h50m,SIA,CAN,西安,广州,2020-04-03
MF1095,厦门航空,咸阳国际机场,白云国际机场,XIY,CAN,09:00,取消,11:50,取消,取消,2h50m,SIA,CAN,西安,广州,2020-04-03
MU2301,东方航空,咸阳国际机场,白云国际机场,XIY,CAN,09:30,09:52,12:35,12:00,到达,2h8m,SIA,CAN,西安,广州,2020-04-03
MF1083,厦门航空,咸阳国际机场,白云国际机场,XIY,CAN,11:00,10:56,13:45,13:08,到达,2h12m,SIA,CAN,西安,广州,2020-04-03
MU3324,东方航空,咸阳国际机场,白云国际机场,XIY,CAN,11:00,10:56,13:45,13:08,到达,2h12m,SIA,CAN,西安,广州,2020-04-03
CZ3202,南方航空,咸阳国际机场,白云国际机场,XIY,CAN,11:00,10:56,13:45,13:08,到达,2h12m,SIA,CAN,西安,广州,2020-04-03
HU7867,海南航空,咸阳国际机场,白云国际机场,XIY,CAN,11:30,11:43,14:25,13:54,到达,2h11m,SIA,CAN,西安,广州,2020-04-03
CZ3376,南方航空,咸阳国际机场,白云国际机场,XIY,CAN,13:00,13:06,16:05,15:41,到达,2h35m,SIA,CAN,西安,广州,2020-04-03
MF1154,厦门航空,咸阳国际机场,白云国际机场,XIY,CAN,13:00,13:06,16:05,15:41,到达,2h35m,SIA,CAN,西安,广州,2020-04-03
CZ3232,南方航空,咸阳国际机场,白云国际机场,XIY,CAN,15:00,取消,18:00,取消,取消,3h0m,SIA,CAN,西安,广州,2020-04-03
HU7857,海南航空,咸阳国际机场,白云国际机场,XIY,CAN,15:30,取消,18:25,取消,取消,2h55m,SIA,CAN,西安,广州,2020-04-03
MU3330,东方航空,咸阳国际机场,白云国际机场,XIY,CAN,16:00,16:03,19:00,18:27,到达,2h24m,SIA,CAN,西安,广州,2020-04-03
CZ3212,南方航空,咸阳国际机场,白云国际机场,XIY,CAN,16:00,16:03,19:00,18:27,到达,2h24m,SIA,CAN,西安,广州,2020-04-03
MF1091,厦门航空,咸阳国际机场,白云国际机场,XIY,CAN,16:00,16:03,19:00,18:27,到达,2h24m,SIA,CAN,西安,广州,2020-04-03
KY9226,昆明航空,咸阳国际机场,白云国际机场,XIY,CAN,17:30,18:53,20:25,21:05,到达,2h12m,SIA,CAN,西安,广州,2020-04-03
CA3526,中国国航,咸阳国际机场,白云国际机场,XIY,CAN,17:30,18:53,20:25,21:05,到达,2h12m,SIA,CAN,西安,广州,2020-04-03
HO5077,吉祥航空,咸阳国际机场,白云国际机场,XIY,CAN,17:30,18:53,20:25,21:05,到达,2h12m,SIA,CAN,西安,广州,2020-04-03
3U4344,四川航空,咸阳国际机场,白云国际机场,XIY,CAN,17:30,18:53,20:25,21:05,到达,2h12m,SIA,CAN,西安,广州,2020-04-03
ZH9226,深圳航空,咸阳国际机场,白云国际机场,XIY,CAN,17:30,18:53,20:25,21:05,到达,2h12m,SIA,CAN,西安,广州,2020-04-03
TV6606,西藏航空,咸阳国际机场,白云国际机场,XIY,CAN,17:30,18:53,20:25,21:05,到达,2h12m,SIA,CAN,西安,广州,2020-04-03
