航班号,航空公司,起飞机场,到达机场,起飞机场三字码,到达机场三字码,计划起飞时间,实际起飞时间,计划到达时间,实际到达时间,状态,时长,起飞城市三字码,到达城市三字码,起飞城市,到达城市,日期
9H8378,长安航空,路桥机场,新桥国际机场,HYN,HFE,20:10,取消,21:55,取消,取消,1h45m,HYN,HFE,合肥,台州,2020-03-30
3U4645,四川航空,武夷山机场,咸阳国际机场,WUS,XIY,10:50,10:40,13:30,12:59,到达,2h19m,WUS,SIA,西安,武夷山,2020-03-30
TV6801,西藏航空,武夷山机场,咸阳国际机场,WUS,XIY,10:50,10:40,13:30,12:59,到达,2h19m,WUS,SIA,西安,武夷山,2020-03-30
CA4879,中国国航,武夷山机场,咸阳国际机场,WUS,XIY,10:50,10:40,13:30,12:59,到达,2h19m,WUS,SIA,西安,武夷山,2020-03-30
G58366,华夏航空,武夷山机场,咸阳国际机场,WUS,XIY,10:50,10:40,13:30,12:59,到达,2h19m,WUS,SIA,西安,武夷山,2020-03-30
SC4879,山东航空,武夷山机场,咸阳国际机场,WUS,XIY,10:50,10:40,13:30,12:59,到达,2h19m,WUS,SIA,西安,武夷山,2020-03-30
HU7370,海南航空,周水子国际机场,潍坊机场,DLC,WEF,18:10,取消,19:15,取消,取消,1h5m,DLC,WEF,潍坊,大连,2020-03-30
MU5700,东方航空,浦东国际机场,栎社国际机场,PVG,NGB,22:20,22:16,23:20,22:47,到达,0h31m,SHA,NGB,宁波,上海,2020-03-30
QF4004,澳洲航空,浦东国际机场,栎社国际机场,PVG,NGB,22:20,22:16,23:20,22:47,到达,0h31m,SHA,NGB,宁波,上海,2020-03-30
CZ5045,南方航空,关公机场,新桥国际机场,YCU,HFE,12:30,12:20,14:00,13:27,到达,1h7m,YCU,HFE,合肥,运城,2020-03-30
MF8112,厦门航空,关公机场,新桥国际机场,YCU,HFE,12:30,12:20,14:00,13:27,到达,1h7m,YCU,HFE,合肥,运城,2020-03-30
NS8112,河北航空,关公机场,新桥国际机场,YCU,HFE,12:30,12:20,14:00,13:27,到达,1h7m,YCU,HFE,合肥,运城,2020-03-30
SC4921,山东航空,禄口国际机场,东郊机场,NKG,JMU,16:00,16:08,20:35,20:24,到达,4h16m,NKG,JMU,佳木斯,南京,2020-03-30
CA4921,中国国航,禄口国际机场,东郊机场,NKG,JMU,16:00,16:08,20:35,20:24,到达,4h16m,NKG,JMU,佳木斯,南京,2020-03-30
TV6591,西藏航空,关公机场,黄花国际机场,YCU,CSX,10:45,取消,12:35,取消,取消,1h50m,YCU,CSX,长沙,运城,2020-03-30
KY8177,昆明航空,关公机场,黄花国际机场,YCU,CSX,10:45,取消,12:35,取消,取消,1h50m,YCU,CSX,长沙,运城,2020-03-30
