航班号,航空公司,起飞机场,到达机场,起飞机场三字码,到达机场三字码,计划起飞时间,实际起飞时间,计划到达时间,实际到达时间,状态,时长,起飞城市三字码,到达城市三字码,起飞城市,到达城市,日期
JR1583,幸福航空,蓬莱国际机场,周水子国际机场,YNT,DLC,07:00,取消,07:55,取消,取消,0h55m,YNT,DLC,大连,烟台,2020-03-29
JR1581,幸福航空,蓬莱国际机场,周水子国际机场,YNT,DLC,08:35,取消,09:35,取消,取消,1h0m,YNT,DLC,大连,烟台,2020-03-29
MU5767,东方航空,蓬莱国际机场,周水子国际机场,YNT,DLC,13:15,取消,14:15,取消,取消,1h0m,YNT,DLC,大连,烟台,2020-03-29
GS6640,天津航空,蓬莱国际机场,周水子国际机场,YNT,DLC,14:10,14:07,15:10,14:36,到达,0h29m,YNT,DLC,大连,烟台,2020-03-29
GS6408,天津航空,蓬莱国际机场,周水子国际机场,YNT,DLC,19:40,取消,20:30,取消,取消,0h50m,YNT,DLC,大连,烟台,2020-03-29
3U2550,四川航空,普陀山机场,双流国际机场,HSN,CTU,18:20,18:13,23:00,22:35,到达,4h22m,HSN,CTU,成都,舟山,2020-03-29
EU6674,成都航空,普陀山机场,双流国际机场,HSN,CTU,18:20,18:13,23:00,22:35,到达,4h22m,HSN,CTU,成都,舟山,2020-03-29
KN5731,中国联合航空,大兴国际机场,西江机场,PKX,WUZ,10:35,10:34,14:15,13:42,到达,3h8m,BJS,WUZ,梧州,北京,2020-03-29
MU3598,东方航空,大兴国际机场,西江机场,PKX,WUZ,10:35,10:34,14:15,13:42,到达,3h8m,BJS,WUZ,梧州,北京,2020-03-29
MU9230,东方航空,兴凯湖机场,流亭国际机场,JXA,TAO,12:35,取消,14:55,取消,取消,2h20m,JXA,TAO,青岛,鸡西,2020-03-29
FM9230,上海航空,兴凯湖机场,流亭国际机场,JXA,TAO,12:35,取消,14:55,取消,取消,2h20m,JXA,TAO,青岛,鸡西,2020-03-29
MU3604,东方航空,沙堤机场,浦东国际机场,FUO,PVG,13:40,取消,16:00,取消,取消,2h20m,FUO,SHA,上海,佛山,2020-03-29
KN5728,中国联合航空,沙堤机场,浦东国际机场,FUO,PVG,13:40,取消,16:00,取消,取消,2h20m,FUO,SHA,上海,佛山,2020-03-29
TV9875,西藏航空,贡嘎国际机场,昌北国际机场,LXA,KHN,10:50,11:14,16:10,取消,起飞,5h20m,LXA,KHN,南昌,拉萨,2020-03-29
ZH3955,深圳航空,贡嘎国际机场,昌北国际机场,LXA,KHN,10:50,11:14,16:10,取消,起飞,5h20m,LXA,KHN,南昌,拉萨,2020-03-29
SC6053,山东航空,贡嘎国际机场,昌北国际机场,LXA,KHN,10:50,11:14,16:10,取消,起飞,5h20m,LXA,KHN,南昌,拉萨,2020-03-29
