航班号,航空公司,起飞机场,到达机场,起飞机场三字码,到达机场三字码,计划起飞时间,实际起飞时间,计划到达时间,实际到达时间,状态,时长,起飞城市三字码,到达城市三字码,起飞城市,到达城市,日期
A67229,红土航空,苏南硕放国际机场,长白山机场,WUX,NBS,08:15,取消,12:30,取消,取消,4h15m,WUX,NBS,白山,无锡,2020-03-31
GS6640,天津航空,蓬莱国际机场,白塔国际机场,YNT,HET,18:30,取消,22:25,取消,取消,3h55m,YNT,HET,呼和浩特,烟台,2020-03-31
HO1135,吉祥航空,滨海国际机场,长白山机场,TSN,NBS,16:55,取消,18:40,取消,取消,1h45m,TSN,NBS,白山,天津,2020-03-31
ZH9262,深圳航空,晋江机场,咸阳国际机场,JJN,XIY,09:30,取消,12:30,取消,取消,3h0m,JJN,SIA,西安,泉州,2020-03-31
KY9262,昆明航空,晋江机场,咸阳国际机场,JJN,XIY,09:30,取消,12:30,取消,取消,3h0m,JJN,SIA,西安,泉州,2020-03-31
TV6538,西藏航空,晋江机场,咸阳国际机场,JJN,XIY,09:30,取消,12:30,取消,取消,3h0m,JJN,SIA,西安,泉州,2020-03-31
CA3654,中国国航,晋江机场,咸阳国际机场,JJN,XIY,09:30,取消,12:30,取消,取消,3h0m,JJN,SIA,西安,泉州,2020-03-31
HO5081,吉祥航空,晋江机场,咸阳国际机场,JJN,XIY,09:30,取消,12:30,取消,取消,3h0m,JJN,SIA,西安,泉州,2020-03-31
TV6688,西藏航空,晋江机场,咸阳国际机场,JJN,XIY,18:35,取消,21:35,取消,取消,3h0m,JJN,SIA,西安,泉州,2020-03-31
KY9264,昆明航空,晋江机场,咸阳国际机场,JJN,XIY,18:35,取消,21:35,取消,取消,3h0m,JJN,SIA,西安,泉州,2020-03-31
CA3456,中国国航,晋江机场,咸阳国际机场,JJN,XIY,18:35,取消,21:35,取消,取消,3h0m,JJN,SIA,西安,泉州,2020-03-31
ZH9264,深圳航空,晋江机场,咸阳国际机场,JJN,XIY,18:35,取消,21:35,取消,取消,3h0m,JJN,SIA,西安,泉州,2020-03-31
HO5083,吉祥航空,晋江机场,咸阳国际机场,JJN,XIY,18:35,取消,21:35,取消,取消,3h0m,JJN,SIA,西安,泉州,2020-03-31
FU6676,福州航空,晋江机场,咸阳国际机场,JJN,XIY,20:20,取消,00:55+1,取消,取消,4h35m,JJN,SIA,西安,泉州,2020-03-31
HO1907,吉祥航空,平潭机场,太平国际机场,HUZ,HRB,14:50,取消,20:40,取消,取消,5h50m,HUZ,HRB,哈尔滨,惠州,2020-03-31
MU4929,东方航空,平潭机场,太平国际机场,HUZ,HRB,14:50,取消,20:40,取消,取消,5h50m,HUZ,HRB,哈尔滨,惠州,2020-03-31
JD5793,首都航空,萧山国际机场,潮汕机场,HGH,SWA,11:15,11:23,13:15,12:58,到达,1h35m,HGH,SWA,揭阳,杭州,2020-03-31
